ID,优先级,综合分,主分类,子分类,名称,作者/机构,类型,语言,引用角色,访问,更新频率,主页URL,Feed/API URL,Feed状态,适合X帖型,为什么值得,核验/版权提醒,Karpathy共享,来源集合,来源/溯源URL,核验日期,HTTP,最终URL,主题标签
SRC-001,S,95,AI、科技与工程,平台工程与开发者体验,GitHub Engineering,,数据库、可靠性、安全与工程复盘,en,证据源,Open,每周2至5篇,https://github.blog/engineering/,https://github.blog/engineering/feed/,有效,架构拆解、开发者体验、工程效率,大型代码协作平台的一手架构和工程案例。,Engineering分类Feed已核验。,false,扩展调研：科技、科学与数据,https://github.blog/engineering/feed/,2026-08-17,200,https://github.blog/engineering/feed/,
SRC-002,S,95,历史与考古,汉文佛典,CBETA Online,,数字佛典数据库,zh-TW,证据源,Open,持续更新,https://cbetaonline.dila.edu.tw/,,无RSS/API入口,宗教史、概念史、原典引用,大规模可检索汉文佛教典籍与校勘信息。,使用前核对数据口径、更新时间、许可与引用格式。,false,扩展调研：数据库、资料库与平台,https://cbetaonline.dila.edu.tw/,2026-08-17,,,
SRC-003,S,95,历史与考古,中国古代典籍,Chinese Text Project,,古籍数据库 / API,zh-CN/en,证据源,Open,持续更新,https://ctext.org/,https://ctext.org/tools/api,API入口,古典原文、思想史、词频,可检索、对照和引用先秦至汉代等中文原典。,注明版本、篇章与异文；现代整理和译文可能有版权。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://ctext.org/,2026-08-17,,https://ctext.org/tools/api,
SRC-004,S,95,历史与考古,美国历史报纸,Chronicling America,,报纸档案 / API,en,证据源,Open,持续更新,https://www.loc.gov/collections/chronicling-america/,https://www.loc.gov/collections/chronicling-america/?fo=json,API入口,历史头版、舆论演变、时间线,美国国会图书馆的可检索历史报纸，适合事件的同时代报道。,使用前核对数据口径、更新时间、许可与引用格式。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://www.loc.gov/collections/chronicling-america/,2026-08-17,,https://www.loc.gov/collections/chronicling-america/?fo=json,
SRC-005,S,95,历史与考古,数字图书、音视频与网页档案,Internet Archive,,数字档案库 / API,multilingual,证据源,Open,持续更新,https://archive.org/,https://archive.org/advancedsearch.php,API入口,原始影像、旧书、网页历史,海量扫描书、影像、软件和历史网页，是公共领域素材与数字史的重要底座。,逐项核对条目权利状态；平台可访问不等于可自由转载。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://archive.org/developers/advancedsearch.html,2026-08-17,,https://archive.org/advancedsearch.php,
SRC-006,S,95,历史与考古,馆藏、地图、照片与法律史,Library of Congress Blogs,,馆员文章、原始资料、专题博客,en,证据源,Open,每日多篇,https://blogs.loc.gov/,https://blogs.loc.gov/feed/,有效,原始照片、旧报纸、地图和出处明确的史料帖。,大量内容直接来自美国国会图书馆馆藏，原始照片、地图、旧报刊和文献定位价值高。,2026-08-17：官方通用 Feed 路径，网页核验器遇到 403；建议阅读器复验并按子博客过滤。,false,扩展调研：人文、历史、哲学与设计,https://blogs.loc.gov/,2026-08-17,200,https://blogs.loc.gov/feed/,
SRC-007,S,95,历史与考古,伦敦刑事审判记录,Old Bailey Online,,历史法庭记录数据库,en,证据源,Open,静态/阶段更新,https://www.oldbaileyonline.org/,,无RSS/API入口,个案史、社会结构、原始证词,1674–1913 年审判记录可做社会史、犯罪史和语言史。,使用前核对数据口径、更新时间、许可与引用格式。,false,扩展调研：数据库、资料库与平台,https://www.oldbaileyonline.org/,2026-08-17,,,
SRC-008,S,95,历史与考古,图书书目与借阅,Open Library,,开放书目 / API,multilingual,证据源,Open,持续更新,https://openlibrary.org/,https://openlibrary.org/developers/api,API入口,书目清单、版本史,提供版本、作者、主题和封面数据，可做书目脉络。,使用前核对数据口径、更新时间、许可与引用格式。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://openlibrary.org/,2026-08-17,,https://openlibrary.org/developers/api,
SRC-009,S,95,历史与考古,历史、考古与博物馆,Smithsonian Magazine - History,,历史新闻、馆藏故事、考古报道,en,证据源,Open,每日更新,https://www.smithsonianmag.com/history/,https://www.smithsonianmag.com/rss/history/,有效,纪念日、文物背后的故事和历史误解纠正。,依托 Smithsonian 机构和专家网络，历史、文物与考古内容来源链较完整。,2026-08-17：Smithsonian 官方 RSS 列表含 History，端点返回 application/xml。,false,扩展调研：人文、历史、哲学与设计,https://www.smithsonianmag.com/rss/,2026-08-17,200,https://www.smithsonianmag.com/rss/history/,
SRC-010,S,95,商业、管理与创新,美国及全球经济时间序列,FRED,,经济数据库 / API,en,证据源,Open,每日/持续更新,https://fred.stlouisfed.org/,https://api.stlouisfed.org/fred/,API入口,时间序列图、经济周期与政策背景,时间序列丰富、元数据清晰，适合宏观和市场背景图。,API 需免费密钥；不同序列的季调、单位和修订规则要核对。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://fred.stlouisfed.org/,2026-08-17,,https://api.stlouisfed.org/fred/,
